timestamp,user_id,username,action,resource_type,status,source_ip
2026-08-20T09:00:00,1,admin,READ,users,success,10.0.0.10
2026-08-20T09:05:00,2,testuser,READ,users,success,10.0.0.20
2026-08-20T09:10:00,3,john,READ,files,success,10.0.0.30
2026-08-20T09:15:00,1,admin,UPDATE,users,success,10.0.0.10
2026-08-20T09:20:00,2,testuser,READ,files,success,10.0.0.20
2026-08-20T09:25:00,3,john,READ,users,success,10.0.0.30
2026-08-20T09:30:00,1,admin,GRANT,permissions,success,10.0.0.10
2026-08-20T09:35:00,2,testuser,READ,users,success,10.0.0.20
2026-08-20T09:40:00,3,john,UPDATE,files,success,10.0.0.30
2026-08-20T09:45:00,2,testuser,READ,files,success,10.0.0.20
2026-08-20T10:00:00,2,testuser,READ,users,denied,10.0.0.20
2026-08-20T10:01:00,2,testuser,READ,users,denied,10.0.0.20
2026-08-20T10:02:00,2,testuser,CHANGE_ROLE,users,denied,10.0.0.20
2026-08-20T10:03:00,2,testuser,GRANT,permissions,denied,10.0.0.20
2026-08-20T10:04:00,2,testuser,ESCALATE_PRIVILEGE,iam,denied,10.0.0.20
2026-08-20T10:05:00,2,testuser,ASSUME_ADMIN_ROLE,roles,success,10.0.0.20
2026-08-20T10:10:00,3,john,READ,files,success,10.0.0.30
2026-08-20T10:15:00,1,admin,UPDATE,users,success,10.0.0.10
2026-08-20T10:20:00,3,john,READ,users,success,10.0.0.30
2026-08-20T10:25:00,1,admin,READ,permissions,success,10.0.0.10
2026-08-20T11:00:00,4,alice,READ,files,success,10.0.0.40
2026-08-20T11:05:00,4,alice,READ,users,success,10.0.0.40
2026-08-20T11:10:00,4,alice,UPDATE,files,success,10.0.0.40
2026-08-20T11:15:00,5,bob,READ,files,success,10.0.0.50
2026-08-20T11:20:00,5,bob,READ,users,success,10.0.0.50
2026-08-20T11:25:00,5,bob,READ,files,success,10.0.0.50
2026-08-20T11:30:00,4,alice,READ,files,success,10.0.0.40
2026-08-20T11:35:00,5,bob,UPDATE,files,success,10.0.0.50
2026-08-20T12:00:00,4,alice,READ,users,denied,10.0.0.40
2026-08-20T12:01:00,4,alice,READ,users,denied,10.0.0.40
2026-08-20T12:02:00,4,alice,CHANGE_ROLE,roles,denied,10.0.0.40
2026-08-20T12:03:00,4,alice,GRANT,permissions,denied,10.0.0.40
2026-08-20T12:04:00,4,alice,CREATE_ADMIN,iam,success,10.0.0.40
2026-08-20T12:05:00,4,alice,ASSUME_ADMIN_ROLE,roles,success,10.0.0.40
2026-08-20T12:10:00,1,admin,READ,users,success,10.0.0.10
2026-08-20T12:15:00,3,john,READ,files,success,10.0.0.30
2026-08-20T12:20:00,5,bob,READ,users,success,10.0.0.50
2026-08-20T12:25:00,1,admin,UPDATE,files,success,10.0.0.10
2026-08-20T12:30:00,3,john,READ,users,success,10.0.0.30
2026-08-20T12:35:00,5,bob,READ,files,success,10.0.0.50
2026-08-20T13:00:00,6,guest,READ,users,denied,10.0.0.60
2026-08-20T13:01:00,6,guest,READ,permissions,denied,10.0.0.60
2026-08-20T13:02:00,6,guest,GRANT,permissions,denied,10.0.0.60
2026-08-20T13:03:00,6,guest,CHANGE_ROLE,roles,denied,10.0.0.60
2026-08-20T13:04:00,6,guest,ESCALATE_PRIVILEGE,iam,denied,10.0.0.60
2026-08-20T13:05:00,6,guest,ASSUME_ROLE,roles,success,10.0.0.60
2026-08-20T13:10:00,1,admin,READ,files,success,10.0.0.10
2026-08-20T13:15:00,2,testuser,READ,files,success,10.0.0.20
2026-08-20T13:20:00,3,john,UPDATE,files,success,10.0.0.30
2026-08-20T14:00:00,1,admin,DELETE,users,success,10.0.0.10
